АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ
АИР ОБЫКНОВЕННЫЙ
АРАЛИЯ ВЫСОКАЯ
АЛОЭ ДРЕВОВИДНОЕ
АЛТЕЙ ЛЕКАРСТВЕННЫЙ
АММИ БОЛЬШАЯ
АММИ ЗУБНАЯ
БАРАНЕЦ ОБЫКНОВЕННЫЙ
АНИС ОБЫКНОВЕННЫЙ
КАТАРАНТУС РОЗОВЫЙ
КРАПИВА ДВУДОМНАЯ
АПОНТИКУМ САФЛОРОВИДНЫЙ
ЦЕТРАРИЯ ИСЛАНДСКАЯ
АРНИКА ГОРНАЯ
АРНИКА ШАМИССО
АРОНИЯ ЧЕРНОПЛОДНАЯ
КРАСАВКА ОБЫКНОВЕННАЯ
БАДАН ТОЛСТОЛИСТНЫЙ
БАРБАРИС ОБЫКНОВЕННЫЙ
БАРВИНОК МАЛЫЙ
БАРХАТ АМУРСКИЙ
БЕЛЕНА ЧЕРНАЯ
БЕЛОКОПЫТНИК ГИБРИДНЫЙ
БЕССМЕРТНИК ПЕСЧАНЫЙ
КРОВОХЛЁБКА ЛЕКАРСТВЕННАЯ
БОРЕЦ СЕВЕРНЫЙ
БРИОФИЛЛУМ ПЕРИСТЫЙ
БРУСНИКА ОБЫКНОВЕННАЯ
БУЗИНА ЧЕРНАЯ
ВАЛЕРИАНА ЛЕКАРСТВЕННАЯ
ВАСИЛЕК БЛАГОСЛОВЕННЫЙ
ВАСИЛЕК ПОСЕВНОЙ
ВЕРБЕНА ЛЕКАРСТВЕННАЯ
ВЗДУТОПЛОДНИК СИБИРСКИЙ
ВИНОГР АДОЛИСТНЫЙ
ВОЛОДУШКА ЗОЛОТИСТАЯ
ГАМАМЕЛИС ВИРГИНСКИЙ
ГОРЕЦ ЗМЕИНЫЙ
ГОРЕЦ ПЕРЕЧНЫЙ
ГОРЕЦ ПОЧЕЧУЙНЫЙ
ГОРЕЦ ПТИЧИЙ
ГОРИЦВЕТ ВЕСЕННИЙ
ДЕВЯСИЛ ВЫСОКИЙ
ДЕСМОДИУМ КАНАДСКИЙ
ДИОСКОРЕЯ НИППОНСКАЯ
ДОННИК ЛЕКАРСТВЕННЫЙ
ДУБ ОБЫКНОВЕННЫЙ
ДУРМАН ОБЫКНОВЕННЫЙ
ДУРНИШНИК ОБЫКНОВЕННЫЙ
ДУШИЦА ОБЫКНОВЕННАЯ
ЕЛЬ ОБЫКНОВЕННАЯ
ЖОСТЕР СЛАБИТЕЛЬНЫЙ
ЗАМАНИХА ВЫСОКАЯ
ЗВЕРОБОЙ ПРОДЫРЯВЛЕННЫЙ
ЗЕМЛЯНИКА ЛЕСНАЯ
ЗМЕЕГОЛОВНИК МОЛДАВСКИЙ
ЗОЛОТОТЫСЯЧНИК ОБЫКНОВЕННЫЙ
ИСТОД ТОНКОЛИСТНЫЙ
КАЛИНА ОБЫКНОВЕННАЯ
