Растение	Регион
аир обыкновенный	Республика Марий Эл
аир обыкновенный	Республика Тыва
аир обыкновенный	Тюменская область
аралия высокая	Сахалинская область
алтей лекарственный	Республика Башкортостан
алтей лекарственный	Брянская область
алтей лекарственный	Республика Калмыкия
алтей лекарственный	Курганская область
алтей лекарственный	Курская область
алтей лекарственный	Липецкая область
алтей лекарственный	Омская область
алтей лекарственный	Пензенская область
алтей лекарственный	Тамбовская область
алтей лекарственный	Ульяновская область
баранец обыкновенный	Республика Башкортостан
баранец обыкновенный	Брянская область
баранец обыкновенный	Владимирская область
баранец обыкновенный	Вологодская область
баранец обыкновенный	Республика Ингушетия
баранец обыкновенный	Калужская область
баранец обыкновенный	Костромская область
баранец обыкновенный	Курганская область
баранец обыкновенный	Курская область
баранец обыкновенный	Республика Мордовия
баранец обыкновенный	Московская область
баранец обыкновенный	Нижегородская область
баранец обыкновенный	Новосибирская область
баранец обыкновенный	Пензенская область
баранец обыкновенный	Рязанская область
баранец обыкновенный	Смоленская область
баранец обыкновенный	Ставропольский край
баранец обыкновенный	Тверская область
баранец обыкновенный	Тульская область
баранец обыкновенный	Тюменская область
баранец обыкновенный	Ярославская область
цетрария исландская	Брянская область
цетрария исландская	Воронежская область
цетрария исландская	Курская область
цетрария исландская	Липецкая область
цетрария исландская	Пензенская область
цетрария исландская	Тамбовская область
красавка обыкновенная	Карачаево-Черкесская Республика
красавка обыкновенная	Республика Крым
бадан толстолистный	Республика Саха (Якутия)
барбарис обыкновенный	Брянская область
барбарис обыкновенный	Чеченская Республика
бархат амурский	Амурская область
бессмертник песчаный	Республика Башкортостан
бессмертник песчаный	Владимирская область
бессмертник песчаный	Вологодская область
бессмертник песчаный	Кировская область
бессмертник песчаный	Костромская область
бессмертник песчаный	Краснодарский край
бессмертник песчаный	Красноярский край
бессмертник песчаный	Ленинградская область
бессмертник песчаный	Республика Марий Эл
бессмертник песчаный	Нижегородская область
бессмертник песчаный	Новгородская область
бессмертник песчаный	Самарская область
бессмертник песчаный	Тверская область
бессмертник песчаный	Тульская область
бессмертник песчаный	Тюменская область
бессмертник песчаный	Чеченская Республика
кровохлёбка лекарственная	Вологодская область
кровохлёбка лекарственная	Костромская область
кровохлёбка лекарственная	Новгородская область
борец северный	Брянская область
борец северный	Калужская область
борец северный	Мурманская область
борец северный	Самарская область
борец северный	Саратовская область
борец северный	Тульская область
борец северный	Ульяновская область
брусника обыкновенная	Воронежская область
брусника обыкновенная	Кабардино-Балкарская Республика
брусника обыкновенная	Курская область
брусника обыкновенная	Липецкая область
брусника обыкновенная	Самарская область
брусника обыкновенная	Саратовская область
валериана лекарственная	Кабардино-Балкарская Республика
валериана лекарственная	Чеченская Республика
вздутоплодник сибирский	Амурская область
вздутоплодник сибирский	Забайкальский край
вздутоплодник сибирский	Красноярский край
вздутоплодник сибирский	Республика Саха (Якутия)
