name,symptoms
Полиомиелит,"

  Более частой формой является полиомиелит без развития параличей. Он может проявляться следующей симптоматикой:



 
  
   температура, головная боль, рвота
  
  
   слабость в мышцах или и напряженность мышц шеи и спины (выражены в течение всего периода лихорадки);
  
  
   затрудненное глотание
  
  
   температура держится три дня и более.
  
 



  После нескольких недель существования такой симптоматики больной полностью выздоравливает.




  Худший прогноз возможен при паралитической форме поражения ЦНС, когда появившиеся боли в конечностях и спине сменяются параличами отдельных мышц туловища, конечностей, шеи, т.е. их выраженной слабостью и неспособностью к произвольному движению. Обычно страдает только часть одной из конечностей, но иногда паралич распространяется в восходящем направлении на мышцы, иннервируемые продолговатым мозгом. Возможен летальный исход вследствие паралича дыхательных мышц или мышц глотки. Выраженность паралича достигает максимума в течение одной недели, после чего более чем у половины больных постепенно происходит полное восстановление функции мышц. Однако около 1/4 больных паралитической формой полиомиелита остаются инвалидами.


"
Простуда,
Птичий грипп,"

  Клиническая картина птичьего гриппа отличатся большой вариабельностью, при этом обычно заболевание сопровождается тяжелой дыхательной недостаточностью и развитием вирусной пневмонии, которые и обуславливают тяжесть заболевания.




  Инкубационный период длится от 2 до 8 дней. Первоначальные симптомы схожи с обычным гриппом: боли в мышцах, насморк, кашель, иногда диарея, рвота, боль в области живота и груди и кровотечения из носа и десен. У пациентов, инфицированных вирусом H5N1, происходит быстрое клиническое ухудшение. Период между появлением симптомов болезни и развитием острой дыхательной недостаточности составлял около шести дней. В общей сложности более половины всех лабораторно подтвержденных случаев заболевания закончились смертельным исходом.


"
Рожа,
Ротавирусная инфекция,"

  После внедрения вируса в организм проходит инкубационный период, который может продолжаться от 1 до 5 суток. В это время человек не испытывает никаких симптомов.




  Первые проявления заболевания — тошнота и рвота. У некоторых больных одновременно возникает жидкий стул. Позывы происходят часто, неожиданно, они очень сильные. Стул становится водянистым и приобретает желтый или желто-зеленый цвет. В самых легких случаях стул бывает 1-2 раза в сутки и имеет кашицеобразную консистенцию.




  Возникают схваткообразные боли в верхней части живота или вокруг пупка. В животе возникает урчание, которое слышно на расстоянии. Нарушается общее состояние больного, оно напоминает простуду: поднимается температура тела (до 38⁰С), появляется слабость, вялость. Иногда отмечается заложенность носа. Язык обложен.




  Во время рвоты и диареи больные с ротавирусной инфекцией теряют жидкость. Может развиваться обезвоживание: при этом состояние больного ухудшается, его кожа становится бледной, сухой, под глазами появляются синяки, черты лица заостряются. Это особенно опасно для ребенка. Необходима срочная помощь врача.


"
Сибирская язва,"

  Инкубационный период, то есть время от момента заражения до появления первых признаков, составляет от нескольких часов до недели. Как правило, этот период длится 2-3 дня.




  Выделяют
  
   кишечную, легочную, кожную формы.
  




  
   Кожная форма
  
  сибирской язвы в свою очередь подразделяется на эризепелоидную, буллезную, карбункулезную и эдематозную разновидность.




  Наиболее распространенной является карбункулезная форма. Для нее характерны изменения кожи в месте внедрения инфекции. В начале в этой области возникает красное, приподнятое над уровнем кожи пятно. Затем на его месте образуется пузырек, постепенно трансформирующийся в язву. Все эти превращения занимают всего несколько часов.




  Пациенты жалуются на боль и жжение в месте образования язвы.




  Постепенно вокруг язвы появляются новые пузырьки, за счет чего дефект кожи увеличивается в размерах.




  Так же наблюдаются симптомы общей интоксикации повышение температуры тела, слабость, сонливость, головная боль.




  
   Легочная форма
  
  начинается остро с сильного озноба, высокой температуры тела, покраснения глаз, чихания, кашля, насморка. Заболевание протекает очень тяжело и может заканчиваться летально.




  Для
  
   кишечной формы
  
  заболевания характерны боли в области желудка, понос, рвота и общая интоксикация. Живот вздут, болезненный при пальпации. Пациент так же может погибнуть от инфекционно-токсического шока.


"
Сифилис,"

  Инкубационный период составляет в среднем около 3-6 недель. Первым признаком болезни является образование на месте контакта твердого шанкра безболезненной плотной округлой язвы диаметром 0,5-2 см, с гладким, блестящим дном. Такие язвы обычно не кровоточат и не склонны к слиянию. В течение первой недели после появления твердого шанкра увеличиваются лимфатические узлы пораженной области (возникает регионарный лимфаденит). Этот период болезни называется первичным сифилисом. Иногда первичных очагов может вообще не быть, или они находятся на внутренних половых органах (например, на стенке влагалища у женщин), что значительно затрудняет диагностику.




  Сифилитическая язва может вторично инфицироваться. Этот процесс сопровождается выраженной отечностью, покраснением в области шанкра, с поверхности язвы может отделяться гной. При анализе отделяемого из области язвы не всегда можно выделить бледную трепонему, из-за чего можно ошибочно сделать вывод об отсутствии сифилиса.




  Примерно через 2-3 месяца от момента заражения, когда на коже и слизистых появляется генерализованная сыпь, можно говорить о переходе болезни во вторичный период. К этому времени первичные очаги, как правило, исчезают, оставляя после себя рубцовые изменения. Кожные проявления вторичного сифилиса обусловлены сосудистыми изменениями в глубоких слоях кожи. Сыпь локализуется на туловище, конечностях, на лице, а также на ладонях и подошвах. Высыпания могут быть пятнистыми, пузырьковыми или пустулезными и имеют темно-красную окраску, которая с течением времени бледнеет. Очаги высыпания формируются на неизмененном фоне, отдельные элементы к слиянию не склонны. Очень редко появление сыпи сопровождается зудом.




  При анализе соскоба из вторичных сифилидов обнаруживается бледная трепонема, что говорит об их заразности. В 10% случаев происходит разрастание элементов на слизистых оболочках, под молочными железами, в области подмышечных впадин, заднего прохода; затем они начинают мокнуть. Это так называемые широкие кондиломы, для которых характерна высокая степень заразности.




  Появление сыпи иногда сопровождается легким недомоганием, болью в горле, небольшим повышением температуры. Длительность вторичного периода болезни составляет несколько дней. Без лечения заболевание переходит в латентную (бессимптомную) форму.




  Больной латентной формой сифилиса остается заразным, возможна также передача инфекции от матери к плоду. В этот период, который может длиться несколько лет или даже всю жизнь, в крови обнаруживаются антитела к возбудителю болезни.




  Примерно у 30% больных заболевание переходит в третичный период, который характеризуется тяжелым деструктивным поражением внутренних органов и систем. Третичные сифилиды (гуммы) на коже представляют собой единичные безболезненные плотные бугорки, захватывающие самые глубокие слои кожи и подкожно-жировой слой. В центре гуммы нередко образует участок некроза с последующим формированием грубого втянутого рубца. Точно такие же гуммы могут появляться в любом внутреннем органе. Чаще всего в процесс вовлекаются костно-хрящевая ткань и нервная система. В первом случае образуются отверстия в твердом и мягком небе, хрящах носа и гортани.




  Инфицирование нервной системы (нейросифилис) приводит к появлению симптомов поражения мозговых оболочек, развитию парезов и параличей, а также нарушениям психики. Образование гумм в сердечно-сосудистой системе чревато развитием аневризм, воспалением стенки аорты, сужением сосудов сердца.


"
СПИД,"

  Ранние симптомы ВИЧ: увеличенные лимфатические узлы, гриппоподобные заболевания (с кашлем, температурой, потерей аппетита, ломотой в теле, усталостью, слабостью). Носитель ВИЧ очень заразен, даже если у него нет симптомов инфекции.




  Поздние симптомы ВИЧ (спустя годы после заражения): постоянные ночные поты и подъемы температуры, хроническая усталость, необъяснимая потеря веса или потеря аппетита. Затяжная диарея. Увеличенные лимфатические узлы. Темно-красные опухолевидные образования на коже, а также в полости рта и носа. Частые респираторные инфекции, поверхностное дыхание или сухой кашель.


"
Стафилококковая пиодермия,
Столбняк,"

  Неподвижность челюсти спазм жевательных мышц, сопровождающийся спазмом шеи, затрудненным глотанием, напряженностью мышц брюшного пресса, спазмами, испариной и повышенной температурой.


"
